customer_id,last_order,frequency,monetary,avg_order_value,avg_delivery_days,recency,R_score,F_score,M_score,rfm_score,cluster,segment,repurchase,future_revenue_90d,region,customer_type,repurchase_probability,predicted_90d_revenue
10001,2025-10-02,6,1292.24,215.37333333333333,4.333333333333333,91,2,4,3,9,0,Regular,1,815.36,West,Returning,0.98,787.96
10002,2025-12-09,7,752.83,107.54714285714286,5.0,23,4,4,2,10,0,Regular,1,581.16,South,Returning,0.968,552.88
10003,2025-12-29,4,1607.6999999999998,401.92499999999995,4.0,3,5,2,4,11,0,Regular,1,958.62,West,Returning,0.996,977.43
10004,2025-12-08,7,1188.5,169.78571428571428,5.142857142857143,24,4,4,3,11,0,Regular,0,762.14,East,Returning,0.312,757.49
10005,2025-12-23,5,333.86,66.772,5.2,9,5,3,1,9,3,New/Occasional,1,325.65,North,Returning,0.992,304.67
10006,2025-12-24,10,1826.04,182.60399999999998,3.9,8,5,5,4,14,2,High Value,1,1138.33,West,Returning,0.98,1160.61
10007,2025-11-14,4,114.82,28.705,5.5,48,3,2,1,6,3,New/Occasional,1,142.73,West,Returning,0.832,125.86
10008,2025-11-12,7,497.29999999999995,71.04285714285713,4.285714285714286,50,3,4,2,9,0,Regular,1,320.4,West,Returning,1.0,340.43
10009,2025-07-01,4,875.6800000000001,218.92000000000002,4.0,184,1,2,2,5,1,At Risk,0,475.49,North,New,0.072,445.4
10010,2025-10-17,6,1400.21,233.36833333333334,4.166666666666667,76,2,4,4,10,0,Regular,1,862.76,South,Returning,0.996,852.57
10011,2025-08-23,2,348.11,174.055,4.0,131,1,1,1,3,1,At Risk,0,75.02,South,New,0.012,106.74
10012,2025-12-02,8,1758.19,219.77375,4.0,30,4,5,4,13,2,High Value,1,1100.69,West,New,0.996,1104.13
10013,2025-12-25,5,648.0799999999999,129.61599999999999,4.4,7,5,3,2,10,3,New/Occasional,1,481.25,East,Returning,0.976,471.57
10014,2025-12-19,10,3616.89,361.68899999999996,4.1,13,5,5,5,15,2,High Value,1,2118.05,West,Returning,0.972,2133.84
10015,2025-11-14,3,1350.37,450.1233333333333,1.3333333333333333,48,3,1,4,8,3,New/Occasional,0,781.98,South,Returning,0.34,789.6
10016,2025-09-24,9,2909.62,323.2911111111111,4.888888888888889,99,2,5,5,12,2,High Value,1,1720.05,North,New,0.96,1721.42
10017,2025-09-26,6,2224.0,370.6666666666667,4.5,97,2,4,5,11,0,Regular,1,1201.5,East,New,0.988,1239.18
10018,2025-11-25,5,1219.1000000000001,243.82000000000002,3.4,37,4,3,3,10,0,Regular,1,783.32,North,Returning,0.996,766.09
10019,2025-06-18,5,784.37,156.874,6.4,197,1,3,2,6,1,At Risk,0,369.74,West,New,0.064,375.16
10020,2025-12-26,4,1234.98,308.745,6.0,6,5,2,3,10,3,New/Occasional,1,807.93,East,New,0.972,790.89
10021,2025-12-04,6,1943.82,323.96999999999997,4.666666666666667,28,4,4,4,12,0,Regular,1,1173.69,West,New,1.0,1182.15
10022,2025-12-30,4,734.97,183.7425,3.0,2,5,2,2,9,3,New/Occasional,1,467.44,South,Returning,0.956,490.32
