customer_id,region,customer_type,signup_days_ago
10001,West,Returning,754
10002,South,Returning,1000
10003,West,Returning,779
10004,East,Returning,725
10005,North,Returning,576
10006,West,Returning,316
10007,West,Returning,358
10008,West,Returning,902
10009,North,New,111
10010,South,Returning,128
10011,South,New,494
10012,West,New,936
10013,East,Returning,798
10014,West,Returning,720
10015,South,Returning,654
10016,North,New,159
10017,East,New,418
10018,North,Returning,123
10019,West,New,917
10020,East,New,908
10021,West,New,331
10022,South,Returning,372
10023,West,Returning,401
10024,West,Returning,1070
10025,West,Returning,601
10026,North,New,921
10027,South,Returning,555
10028,North,Returning,846
10029,North,New,648
10030,East,New,355
10031,West,New,1055
10032,West,New,859
10033,South,Returning,930
10034,South,Returning,1139
10035,South,New,321
10036,North,Returning,137
10037,North,Returning,711
10038,South,Returning,411
10039,North,Returning,539
10040,East,Returning,304
10041,South,Returning,496
10042,West,New,490
10043,East,Returning,440
10044,South,New,898
10045,West,Returning,723
10046,West,Returning,584
10047,South,New,161
10048,South,Returning,697
10049,East,New,234
10050,North,New,397
10051,North,New,515
10052,North,Returning,195
10053,West,New,485
10054,East,Returning,342
10055,East,New,1024
10056,West,Returning,1035
10057,South,Returning,35
10058,East,Returning,734
10059,North,Returning,779
10060,North,Returning,472
10061,East,Returning,578
10062,South,Returning,954
10063,East,Returning,472
10064,West,Returning,105
10065,East,Returning,465
10066,East,Returning,327
10067,East,New,477
10068,South,New,299
10069,North,Returning,205
10070,South,Returning,1182
10071,North,Returning,180
10072,South,Returning,856
10073,West,Returning,869
10074,North,Returning,752
10075,North,New,1096
10076,South,New,35
10077,South,Returning,382
10078,East,Returning,245
10079,East,Returning,705
10080,West,Returning,773
10081,East,Returning,1080
10082,South,New,474
10083,West,Returning,306
10084,North,New,1111
10085,North,Returning,817
10086,North,Returning,924
10087,West,New,550
10088,South,Returning,553
10089,North,New,485
10090,South,New,906
10091,North,New,276
10092,East,New,1171
10093,South,Returning,235
10094,South,Returning,569
10095,South,Returning,398
10096,East,Returning,781
10097,South,New,826
10098,North,New,1104
10099,North,Returning,953
10100,West,New,320
10101,West,Returning,271
10102,East,New,1067
10103,South,Returning,600
10104,West,Returning,144
10105,West,New,995
10106,East,New,788
10107,South,Returning,59
10108,South,New,945
10109,North,Returning,740
10110,West,Returning,749
10111,South,New,1041
10112,North,Returning,609
10113,South,Returning,569
10114,East,Returning,752
10115,North,Returning,261
10116,West,New,207
10117,West,New,1017
10118,East,Returning,282
10119,South,Returning,620
10120,East,New,345
10121,East,New,299
10122,East,Returning,729
10123,North,Returning,968
10124,South,New,547
10125,North,Returning,192
10126,South,Returning,316
10127,South,Returning,222
10128,North,New,1062
10129,North,New,403
10130,East,Returning,467
10131,North,Returning,113
10132,West,Returning,551
10133,East,Returning,1099
10134,South,Returning,509
10135,East,Returning,791
10136,North,Returning,242
10137,West,Returning,197
10138,South,Returning,886
10139,West,New,106
10140,North,Returning,554
10141,South,Returning,400
10142,South,New,49
10143,West,Returning,651
10144,East,New,1157
10145,South,New,110
10146,South,Returning,984
10147,South,New,660
10148,South,Returning,876
10149,South,Returning,142
10150,North,Returning,1046
10151,West,New,43
10152,West,New,1090
10153,North,New,799
10154,East,New,424
10155,North,Returning,38
10156,East,Returning,744
10157,South,New,132
10158,East,Returning,742
10159,West,Returning,934
10160,West,New,342
10161,North,New,309
10162,West,Returning,289
10163,North,Returning,293
10164,North,New,163
10165,East,Returning,322
10166,South,Returning,801
10167,West,Returning,383
10168,West,New,943
10169,South,New,988
10170,West,Returning,920
10171,South,New,661
10172,South,Returning,400
10173,South,Returning,1117
10174,West,New,270
10175,North,Returning,573
10176,North,Returning,560
10177,South,Returning,902
10178,West,Returning,669
10179,West,Returning,965
10180,West,Returning,1105
10181,West,Returning,487
10182,West,Returning,1053
10183,South,Returning,228
10184,South,New,1101
10185,West,New,238
10186,East,New,1024
10187,South,Returning,486
10188,North,Returning,1158
10189,West,Returning,181
10190,South,Returning,574
10191,West,Returning,1085
10192,South,Returning,85
10193,North,New,340
10194,West,Returning,127
10195,North,Returning,405
10196,North,Returning,486
10197,East,New,754
10198,West,Returning,331
10199,North,Returning,215
10200,South,Returning,228
10201,West,Returning,1127
10202,West,Returning,1145
10203,South,Returning,289
10204,North,Returning,258
10205,North,Returning,93
10206,North,Returning,1152
10207,North,New,856
10208,East,Returning,920
10209,North,Returning,369
10210,South,New,779
