order_id,customer_id,order_date,category,quantity,unit_price,discount,delivery_days,payment_method,revenue,region
500001,10113,2025-07-29,Grocery,1,228.82,0.0,5,COD,228.82,South
500002,10753,2025-06-18,Electronics,2,31.22,0.05,1,UPI,59.32,South
500003,10855,2025-02-02,Sports,4,15.11,0.2,3,Card,48.35,North
500004,11099,2025-10-12,Fashion,1,248.57,0.0,5,Card,248.57,West
500005,10859,2025-04-30,Sports,1,34.05,0.0,2,COD,34.05,South
500006,10283,2025-03-29,Beauty,2,399.02,0.05,7,UPI,758.14,North
500007,10551,2025-10-13,Electronics,3,18.36,0.0,6,UPI,55.08,South
500008,10666,2025-03-14,Sports,4,13.97,0.1,3,Net Banking,50.29,East
500009,11476,2025-09-07,Fashion,3,396.49,0.05,2,UPI,1130.0,South
500010,10799,2025-06-23,Beauty,2,13.73,0.15,3,Net Banking,23.34,West
500011,10953,2025-10-19,Beauty,4,11.92,0.1,3,Card,42.91,South
500012,11104,2025-01-19,Beauty,1,123.25,0.05,2,Card,117.09,West
500013,10544,2025-10-10,Beauty,4,34.38,0.15,2,UPI,116.89,West
500014,11447,2025-03-25,Home,2,57.85,0.0,4,COD,115.7,West
500015,11013,2025-11-14,Home,2,51.02,0.1,6,UPI,91.84,South
500016,11273,2025-05-10,Home,4,22.64,0.1,3,Card,81.5,South
500017,11124,2025-01-03,Electronics,3,54.15,0.0,5,UPI,162.45,North
500018,10933,2025-06-27,Grocery,2,25.28,0.0,4,UPI,50.56,South
500019,10047,2025-01-20,Home,2,22.97,0.05,6,COD,43.64,South
500020,10876,2025-04-09,Electronics,2,24.3,0.05,3,UPI,46.17,West
500021,10195,2025-09-19,Electronics,4,15.7,0.1,5,Card,56.52,North
500022,10905,2025-07-24,Grocery,1,87.09,0.0,5,COD,87.09,West
500023,11053,2025-09-16,Beauty,1,76.26,0.0,7,Card,76.26,South
500024,10818,2025-11-17,Home,2,10.54,0.2,6,Card,16.86,South
500025,10463,2025-06-20,Beauty,2,57.2,0.0,5,UPI,114.4,West
500026,10090,2025-07-18,Electronics,4,160.63,0.2,2,COD,514.02,South
500027,11007,2025-01-22,Home,1,13.5,0.1,3,UPI,12.15,West
500028,11048,2025-04-15,Home,4,37.21,0.1,3,Card,133.96,West
500029,10717,2025-09-22,Sports,4,289.52,0.0,3,COD,1158.08,East
500030,11075,2025-01-23,Electronics,2,44.57,0.15,5,COD,75.77,West
500031,11169,2025-05-12,Beauty,4,13.75,0.15,5,UPI,46.75,West
500032,10769,2025-02-19,Sports,4,79.76,0.1,5,UPI,287.14,North
500033,10072,2025-11-09,Grocery,4,56.96,0.1,7,COD,205.06,South
500034,11306,2025-07-24,Fashion,2,20.17,0.05,5,COD,38.32,West
500035,10701,2025-08-24,Home,2,13.95,0.0,2,Card,27.9,South
500036,11009,2025-09-07,Beauty,4,219.47,0.2,5,UPI,702.3,West
500037,11367,2025-03-23,Home,2,244.67,0.0,6,Card,489.34,North
500038,10544,2025-01-19,Fashion,1,92.24,0.05,7,Net Banking,87.63,West
500039,10933,2025-05-26,Home,3,13.76,0.05,4,UPI,39.22,South
500040,10030,2025-03-09,Fashion,2,273.25,0.1,4,COD,491.85,East
500041,11328,2025-04-28,Fashion,4,45.7,0.1,7,Card,164.52,East
500042,10089,2025-04-27,Grocery,4,57.64,0.1,5,COD,207.5,North
500043,10812,2025-10-13,Beauty,1,235.89,0.0,1,UPI,235.89,North
500044,10528,2025-04-27,Grocery,4,46.14,0.0,1,UPI,184.56,West
500045,10054,2025-02-25,Beauty,4,23.31,0.0,8,UPI,93.24,East
500046,10694,2025-12-16,Sports,4,28.23,0.2,1,COD,90.34,South
500047,11404,2025-01-18,Fashion,2,324.78,0.0,4,Card,649.56,South
500048,10251,2025-03-16,Sports,3,57.51,0.2,6,Card,138.02,East
500049,10439,2025-05-07,Beauty,4,83.53,0.0,1,Net Banking,334.12,West
500050,10284,2025-01-23,Sports,4,74.55,0.15,2,UPI,253.47,South
500051,10188,2025-11-25,Beauty,2,28.53,0.1,2,COD,51.35,North
500052,10346,2025-05-09,Beauty,3,53.57,0.15,8,UPI,136.6,West
500053,10858,2025-10-13,Beauty,2,361.34,0.1,9,UPI,650.41,West
500054,11171,2025-02-19,Sports,2,20.64,0.1,3,Card,37.15,South
500055,11036,2025-07-10,Fashion,3,285.06,0.1,6,Net Banking,769.66,East
500056,11157,2025-02-16,Electronics,2,23.51,0.0,5,COD,47.02,North
500057,11074,2025-03-26,Sports,1,27.06,0.15,4,UPI,23.0,West
500058,10575,2025-05-29,Sports,3,14.7,0.1,1,Net Banking,39.69,West
500059,11351,2025-11-11,Electronics,2,97.71,0.0,9,COD,195.42,West
500060,10259,2025-04-22,Grocery,3,43.36,0.0,1,COD,130.08,North
500061,11050,2025-10-03,Fashion,2,56.99,0.05,5,Card,108.28,South
500062,10167,2025-02-03,Electronics,4,71.27,0.15,3,Card,242.32,West
500063,11149,2025-04-02,Beauty,4,99.31,0.1,7,UPI,357.52,South
500064,10131,2025-08-09,Grocery,2,300.39,0.0,6,Card,600.78,North
500065,10325,2025-06-20,Home,3,75.38,0.1,3,UPI,203.53,West
500066,10587,2025-07-03,Grocery,1,14.82,0.0,3,Card,14.82,North
500067,11042,2025-09-05,Beauty,4,148.96,0.0,1,Card,595.84,East
500068,10069,2025-01-29,Home,1,10.88,0.15,5,Card,9.25,North
500069,10387,2025-09-11,Beauty,4,270.67,0.0,6,COD,1082.68,East
500070,10501,2025-11-11,Fashion,4,24.09,0.05,4,Card,91.54,West
500071,11097,2025-10-07,Sports,1,153.02,0.0,4,Card,153.02,North
500072,11443,2025-04-14,Grocery,1,17.44,0.0,8,UPI,17.44,North
500073,10922,2025-05-09,Home,3,43.09,0.0,6,UPI,129.27,West
500074,10762,2025-12-17,Grocery,4,95.87,0.0,7,UPI,383.48,North
500075,10505,2025-10-16,Fashion,3,115.05,0.05,1,UPI,327.89,South
