month,revenue,orders,customers,avg_order_value
2025-01,145954.28,594,498,245.7142760942761
2025-02,149224.23,584,487,255.52094178082194
2025-03,179380.93,661,530,271.37810892586987
2025-04,152261.95,605,496,251.6726446280992
2025-05,159685.95,635,521,251.47393700787404
2025-06,158665.92,609,510,260.53517241379313
2025-07,155664.28,630,512,247.08615873015873
2025-08,178416.83,664,536,268.7000451807229
2025-09,149263.76,585,486,255.1517264957265
2025-10,143375.01,645,528,222.28683720930235
2025-11,153585.16,635,508,241.8663937007874
2025-12,165727.09,653,522,253.79339969372128
